Time,Lat,Lon,Altitude,Accuracy,Heading,Speed,Battery
1455906757.999995,42.362243,-71.090463,8.760738,25.000000,59.062500,0.950000,0.470000
1455906758.999995,42.362253,-71.090448,8.766323,25.000000,59.062500,1.480000,0.470000
1455906759.999995,42.362263,-71.090434,8.583340,25.000000,59.414062,1.480000,0.470000
1455906760.999995,42.362270,-71.090418,8.407284,25.000000,59.765625,1.290000,0.470000
1455906761.999996,42.362279,-71.090399,8.091763,25.000000,59.765625,1.290000,0.470000
1455906763.000021,42.362288,-71.090376,8.273098,25.000000,61.875000,1.710000,0.470000
1455906763.999996,42.362299,-71.090352,8.290707,25.000000,65.039062,1.710000,0.470000
1455906764.999997,42.362309,-71.090328,8.061337,25.000000,65.390625,1.650000,0.470000
1455906765.999995,42.362316,-71.090313,8.048000,25.000000,65.390625,1.570000,0.470000
1455906766.999995,42.362322,-71.090298,8.344326,25.000000,65.390625,1.080000,0.470000
1455906767.999995,42.362327,-71.090281,8.455471,25.000000,65.390625,1.150000,0.470000
1455906768.999995,42.362330,-71.090264,8.489895,25.000000,65.390625,1.150000,0.470000
1455906769.999995,42.362336,-71.090247,8.790951,25.000000,65.390625,1.150000,0.470000
1455906770.999995,42.362343,-71.090229,8.926632,25.000000,53.789062,1.250000,0.470000
1455906771.999996,42.362346,-71.090209,8.585079,25.000000,55.546875,1.610000,0.470000
1455906772.999996,42.362350,-71.090189,8.697536,25.000000,62.226562,1.610000,0.470000
1455906773.999996,42.362352,-71.090171,8.941189,25.000000,61.875000,1.530000,0.470000
1455906774.999995,42.362352,-71.090157,9.128017,25.000000,62.226562,1.000000,0.470000
1455906775.999996,42.362355,-71.090143,8.906521,25.000000,61.875000,1.000000,0.470000
1455906776.999995,42.362356,-71.090127,8.860256,25.000000,62.226562,1.060000,0.470000
1455906777.999995,42.362357,-71.090114,8.923946,25.000000,62.226562,1.060000,0.470000
1455906778.999996,42.362357,-71.090100,8.870724,25.000000,62.578125,1.030000,0.470000
1455906779.999996,42.362357,-71.090085,9.048733,25.000000,62.578125,0.670000,0.470000
1455906780.999995,42.362357,-71.090085,8.964748,25.000000,62.929688,0.000000,0.470000
1455906781.999995,42.362345,-71.090068,8.854977,25.000000,62.929688,0.450000,0.470000
1455906782.999995,42.362346,-71.090060,8.920376,25.000000,9.492188,1.250000,0.470000
1455906783.999995,42.362351,-71.090054,8.954830,25.000000,63.281250,0.970000,0.470000
1455906784.999996,42.362357,-71.090046,9.055233,25.000000,63.281250,0.970000,0.470000
1455906785.999995,42.362361,-71.090034,9.132717,25.000000,29.179688,0.970000,0.470000
1455906786.999995,42.362366,-71.090023,9.269711,25.000000,28.125000,0.750000,0.470000
1455906787.999996,42.362366,-71.090013,9.324429,25.000000,63.281250,0.750000,0.470000
1455906788.999995,42.362368,-71.090007,9.413876,25.000000,63.281250,0.660000,0.470000
